code,code_system,include,term,notes
"""medcodeid""",UNKNOWN,true,"""Observations""	""OriginalReadCode""	""CleansedReadCode""	""term""	""SnomedCTConceptId""	""SnomedCTDescriptionId""	""EmisCodeCategoryId""	""smoking_status""",
"""459722017""",UNKNOWN,true,"1145567	""8HTK""	""8HTK.00""	""referral to stop-smoking clinic""	""315232003""	""459722017""	40	""current or former""",
"""460828018""",UNKNOWN,true,"3202	""ZV4K0""	""ZV4K000""	""tobacco user""	""110483000""	""175325014""	32	""current or former""",
"""461114016""",UNKNOWN,true,"676	""ZV6D8""	""ZV6D800""	""counselling about tobacco use""	""711028002""	""3047058010""	32	""current or former""",
"""503483019""",UNKNOWN,true,"17579725	""137R""	""137R.00""	""current smoker""	""77176002""	""503483019""	17	""current or former""",
"""504769011""",UNKNOWN,true,"33410	""137W""	""137W.00""	""chews tobacco""	""81703003""	""504769011""	17	""current or former""",
"""1484932017""",UNKNOWN,true,"238991	""13p""	""13p..00""	""smoking cessation milestones""	""390900001""	""1484932017""	17	""current or former""",
"""1484933010""",UNKNOWN,true,"554836	""13p0""	""13p0.00""	""negotiated date for cessation of smoking""	""390901002""	""1484933010""	17	""current or former""",
"""1484937011""",UNKNOWN,true,"115706	""8B3f""	""8B3f.00""	""nicotine replacement therapy provided free""	""390905006""	""1484937011""	32	""current or former""",
"""1488576014""",UNKNOWN,true,"1030122	""137c""	""137c.00""	""thinking about stopping smoking""	""394871007""	""1488576014""	17	""current or former""",
"""1488577017""",UNKNOWN,true,"602149	""137b""	""137b.00""	""ready to stop smoking""	""394872000""	""1488577017""	17	""current or former""",
"""1488578010""",UNKNOWN,true,"1428923	""137d""	""137d.00""	""not interested in stopping smoking""	""394873005""	""1488578010""	17	""current or former""",
"""1488666019""",UNKNOWN,true,"465244	""13WK""	""13WK.00""	""no smokers in the household""	""394964001""	""1488666019""	17	""current or former""",
"""1488870013""",UNKNOWN,true,"4114	""8I2I""	""8I2I.00""	""nicotine replacement therapy contraindicated""	""395174005""	""1488870013""	32	""current or former""",
"""1488871012""",UNKNOWN,true,"3299	""8I2J""	""8I2J.00""	""bupropion contraindicated""	""395175006""	""1488871012""	32	""current or former""",
"""1488872017""",UNKNOWN,true,"680	""8I3M""	""8I3M.00""	""bupropion refused""	""395176007""	""1488872017""	32	""current or former""",
"""1488873010""",UNKNOWN,true,"169502	""13p4""	""13p4.00""	""smoking free weeks""	""395177003""	""1488873010""	17	""current or former""",
"""1489355012""",UNKNOWN,true,"1459651	""8H7i""	""8H7i.00""	""referral to smoking cessation advisor""	""395700008""	""1489355012""	40	""current or former""",
"""1773560017""",UNKNOWN,true,"342856	""13p5""	""13p5.00""	""smoking cessation programme start date""	""401160008""	""1773560017""	17	""current or former""",
"""1780273014""",UNKNOWN,true,"1541236	""9N2k""	""9N2k.00""	""seen by smoking cessation advisor""	""401068004""	""1780273014""	37	""current or former""",
"""1780360012""",UNKNOWN,true,"24892	""137f""	""137f.00""	""reason for restarting smoking""	""401159003""	""1780360012""	17	""current or former""",
"""1780396011""",UNKNOWN,true,"611670	""137g""	""137g.00""	""cigarette pack-years""	""401201003""	""1780396011""	17	""current or former""",
"""2159962015""",UNKNOWN,true,"18890	""8I6H""	""8I6H.00""	""smoking review not indicated""	""408398007""	""2159962015""	32	""current or former""",
"""2474719011""",UNKNOWN,true,"133640	""137h""	""137h.00""	""minutes from waking to first tobacco consumption""	""413173009""	""2474719011""	17	""current or former""",
"""2669652019""",UNKNOWN,true,"162568	""137Q""	""137Q.00""	""smoking started""	""266929003""	""2669652019""	17	""current or former""",
"""2670126018""",UNKNOWN,true,"25464	""137e""	""137e.00""	""smoking restarted""	""308438006""	""2670126018""	17	""current or former""",
"""3513101011""",UNKNOWN,true,"4	""^ESCT1165101""	NA	""date ceased using moist tobacco""	""735112005""	""3513101011""	17	""current or former""",
"""3513199018""",UNKNOWN,true,"1470	""^ESCT1165113""	NA	""ex-smoker for less than 1 year""	""735128000""	""3513199018""	17	""current or former""",
"""16261000000110""",UNKNOWN,true,"108830	""9OOZ""	""9OOZ.00""	""stop smoking monitoring administration""	""714001000000108""	""1567181000000113""	37	""current or former""",
"""21681000000118""",UNKNOWN,true,"217242	""9OO""	""9OO..00""	""anti-smoking monitoring admin.""	""714001000000108""	""1565241000000115""	37	""current or former""",
"""21691000000116""",UNKNOWN,true,"132522	""9OO-2""	""9OO..12""	""anti-smoking monitoring administration""	""714001000000108""	""1565241000000115""	37	""current or former""",
"""25281000000119""",UNKNOWN,true,"49086	""9OO-1""	""9OO..11""	""stop smoking clinic administration""	""714021000000104""	""1565261000000119""	37	""current or former""",
"""37311000006117""",UNKNOWN,true,"60305	""EMISHGT222""	NA	""other anti-smoking drug given""	""37311000006101""	""37311000006117""	1	""current or former""",
"""67621000006112""",UNKNOWN,true,"134579	""1376""	""1376.00""	""very heavy cigarette smoker (40+ cigs/day)""	""160606002""	""250362014""	17	""current or former""",
"""88471000006112""",UNKNOWN,true,"794464	""1372""	""1372.00""	""trivial cigarette smoker (less than one cigarette/day)""	""266920004""	""397735013""	17	""current or former""",
"""102921000006112""",UNKNOWN,true,"2450548	""137""	""137..00""	""tobacco smoking consumption""	""266918002""	""397730015""	17	""current or former""",
"""102951000006115""",UNKNOWN,true,"91493	""E251""	""E251.00""	""tobacco dependence""	""89765005""	""2951656017""	32	""current or former""",
"""103221000033113""",UNKNOWN,true,"1	""DRGC1142""	NA	""nicotine""	""68540007""	""103221000033113""	31	""current or former""",
"""128311000006112""",UNKNOWN,true,"170360	""9OO4""	""9OO4.00""	""stop smoking monitoring first letter""	""185792005""	""285794014""	37	""current or former""",
"""128321000006116""",UNKNOWN,true,"15883	""9OO5""	""9OO5.00""	""stop smoking monitoring second letter""	""185793000""	""285795010""	37	""current or former""",
"""128331000006118""",UNKNOWN,true,"5986	""9OO6""	""9OO6.00""	""stop smoking monitoring third letter""	""185794006""	""285796011""	37	""current or former""",
"""128361000006110""",UNKNOWN,true,"27126	""9OO8""	""9OO8.00""	""stop smoking monitoring telephone invite""	""185796008""	""285798012""	37	""current or former""",
"""128371000006115""",UNKNOWN,true,"116782	""9OO7""	""9OO7.00""	""stop smoking monitoring verbal invite""	""185795007""	""285797019""	37	""current or former""",
"""128381000006117""",UNKNOWN,true,"349617	""9OOA""	""9OOA.00""	""stop smoking monitoring check done""	""185799001""	""285806011""	37	""current or former""",
"""137711000006111""",UNKNOWN,true,"13124	""EMISSMRE1""	NA	""smoker (read codes)""	""137711000006107""	""137711000006111""	17	""current or former""",
"""137721000006115""",UNKNOWN,true,"102242	""137-1""	""137..11""	""smoker - amount smoked""	""266918002""	""397730015""	17	""current or former""",
"""137751000006112""",UNKNOWN,true,"975	""EGTONSM2""	NA	""smoking age""	""137751000006108""	""137751000006112""	17	""current or former""",
"""137761000006114""",UNKNOWN,true,"91065	""EGTONSM4""	NA	""smoking age ceased""	""137761000006105""	""137761000006114""	17	""current or former""",
"""137771000006119""",UNKNOWN,true,"207038	""EGTONSM3""	NA	""smoking age started""	""137771000006103""	""137771000006119""	17	""current or former""",
"""137791000006118""",UNKNOWN,true,"14326	""137Q-1""	""137Q.11""	""smoking restarted""	""308438006""	""2670126018""	17	""current or former""",
"""298701000000114""",UNKNOWN,true,"39	""ZV116""	""ZV11600""	""history of tobacco use""	""8517006""	""15047015""	17	""current or former""",
"""303501000000115""",UNKNOWN,true,"3153	""8CAg""	""8CAg.00""	""smoking cessation advice provided by community pharmacist""	""200221000000105""	""303501000000115""	32	""current or former""",
"""397181000006117""",UNKNOWN,true,"1	""Eu177""	""Eu17700""	""[x]mental and behavioural disorders due to use of tobacco: residual and late-onset psychotic disorder""	""30310000""	""50736017""	32	""current or former""",
"""397271000006110""",UNKNOWN,true,"16	""Eu17y""	""Eu17y00""	""[x]mental and behavioural disorders due to use of tobacco: other mental and behavioural disorders""	""30310000""	""50736017""	32	""current or former""",
"""397281000006113""",UNKNOWN,true,"3	""Eu174""	""Eu17400""	""[x]mental and behavioural disorders due to use of tobacco: withdrawal state with delirium""	""90755006""	""150398019""	32	""current or former""",
"""397461000006119""",UNKNOWN,true,"11	""Eu17z""	""Eu17z00""	""[x]mental and behavioural disorders due to use of tobacco: unspecified mental and behavioural disorder""	""30310000""	""50736017""	32	""current or former""",
"""397671000006112""",UNKNOWN,true,"3	""Eu170""	""Eu17000""	""[x]mental and behavioural disorders due to use of tobacco: acute intoxication""	""30310000""	""50736017""	32	""current or former""",
"""397681000006110""",UNKNOWN,true,"13	""Eu175""	""Eu17500""	""[x]mental and behavioural disorders due to use of tobacco: psychotic disorder""	""30310000""	""50736017""	32	""current or former""",
"""397911000006114""",UNKNOWN,true,"173	""Eu171""	""Eu17100""	""[x]mental and behavioural disorders due to use of tobacco: harmful use""	""724697004""	""3445165019""	32	""current or former""",
"""397971000006117""",UNKNOWN,true,"4	""Eu176""	""Eu17600""	""[x]mental and behav dis due to use tobacco: amnesic syndrome""	""30310000""	""50736017""	32	""current or former""",
"""397981000006119""",UNKNOWN,true,"179	""Eu172""	""Eu17200""	""[x]mental and behav dis due to use tobacco: dependence syndr""	""30310000""	""50736017""	32	""current or former""",
"""397991000006116""",UNKNOWN,true,"5	""Eu173""	""Eu17300""	""[x]mental and behavioural disorders due to use of tobacco: withdrawal state""	""90755006""	""150398019""	32	""current or former""",
"""469421000006110""",UNKNOWN,true,"920	""TJHy2""	""TJHy200""	""nicotine adverse reaction""	""292451006""	""432592016""	5	""current or former""",
"""482771000000118""",UNKNOWN,true,"149216	""745H4""	""745H400""	""smoking cessation drug therapy""	""713700008""	""3297364011""	32	""current or former""",
"""482791000000119""",UNKNOWN,true,"176847	""745H0""	""745H000""	""nicotine replacement therapy using nicotine patch""	""790121000000107""	""1766431000000116""	32	""current or former""",
"""482811000000118""",UNKNOWN,true,"19855	""745H1""	""745H100""	""nicotine replacement therapy using nicotine gum""	""280801000000101""	""482811000000118""	32	""current or former""",
"""482831000000114""",UNKNOWN,true,"49690	""745H2""	""745H200""	""nicotine replacement therapy using nicotine inhalator""	""280811000000104""	""482831000000114""	32	""current or former""",
"""482851000000119""",UNKNOWN,true,"19389	""745H3""	""745H300""	""nicotine replacement therapy using nicotine lozenge""	""790131000000109""	""1766451000000111""	32	""current or former""",
"""482871000000111""",UNKNOWN,true,"46071	""745Hy""	""745Hy00""	""other specified smoking cessation therapy""	""710081004""	""3043296015""	32	""current or former""",
"""489931000000114""",UNKNOWN,true,"30761	""745Hz""	""745Hz00""	""smoking cessation therapy nos""	""710081004""	""3043296015""	32	""current or former""",
"""492511000000117""",UNKNOWN,true,"283134	""745H""	""745H.00""	""smoking cessation therapy""	""710081004""	""3043296015""	32	""current or former""",
"""498831000006118""",UNKNOWN,true,"472504	""9OO1""	""9OO1.00""	""attends stop smoking monitoring""	""185789006""	""285791018""	37	""current or former""",
"""604961000006114""",UNKNOWN,true,"20833	""EGTON1025""	NA	""current smoker nos""	""604961000006105""	""604961000006114""	17	""current or former""",
"""649821000006115""",UNKNOWN,true,"78723	""137O""	""137O.00""	""ex-cigar smoker""	""160621008""	""250377018""	17	""current or former""",
"""649831000006117""",UNKNOWN,true,"70703	""137N""	""137N.00""	""ex-pipe smoker""	""160620009""	""250376010""	17	""current or former""",
"""649841000006110""",UNKNOWN,true,"45851233	""137S""	""137S.00""	""ex-smoker""	""8517006""	""15047015""	17	""current or former""",
"""649851000006112""",UNKNOWN,true,"22593	""EGTON1027""	NA	""ex- rolled tobacco smoker""	""649851000006108""	""649851000006112""	17	""current or former""",
"""649861000006114""",UNKNOWN,true,"61588	""EGTON322""	NA	""ex-cigarette smoker""	""649861000006105""	""649861000006114""	17	""current or former""",
"""700121000006118""",UNKNOWN,true,"4054846	""1374""	""1374.00""	""moderate cigarette smoker (10-19 cigs/day)""	""160604004""	""250359011""	17	""current or former""",
"""736241000000116""",UNKNOWN,true,"82979	""9kc""	""9kc..00""	""smoking cessation enhanced services administration""	""374361000000100""	""1152641000000112""	37	""current or former""",
"""743331000006116""",UNKNOWN,true,"3474040	""1373""	""1373.00""	""light cigarette smoker (1-9 cigs/day)""	""160603005""	""250358015""	17	""current or former""",
"""818061000006111""",UNKNOWN,true,"23461795	""6791""	""6791.00""	""smoking cessation education""	""225323000""	""2575784012""	17	""current or former""",
"""819331000006110""",UNKNOWN,true,"1735114	""1375""	""1375.00""	""heavy cigarette smoker (20-39 cigs/day)""	""160605003""	""250360018""	17	""current or former""",
"""852111000006118""",UNKNOWN,true,"2222	""EMISQGR1""	NA	""gradual smoking reduction""	""852111000006102""	""852111000006118""	17	""current or former""",
"""852121000006114""",UNKNOWN,true,"13130	""EMISQSM17""	NA	""smoking cessation-maintain abstinence""	""852121000006105""	""852121000006114""	17	""current or former""",
"""852131000006112""",UNKNOWN,true,"81406	""EMISQSM18""	NA	""smoking cessation-practice nurse support""	""852131000006108""	""852131000006112""	17	""current or former""",
"""852981000006111""",UNKNOWN,true,"70	""EGTON1024""	NA	""rolls own cigarettes""	""852981000006107""	""852981000006111""	17	""current or former""",
"""853001000006110""",UNKNOWN,true,"330	""EGTON1028""	NA	""ex-smoker nos""	""853001000006106""	""853001000006110""	17	""current or former""",
"""854021000006115""",UNKNOWN,true,"16634	""EGTON321""	NA	""cigarette smoker""	""854021000006104""	""854021000006115""	17	""current or former""",
"""854051000006112""",UNKNOWN,true,"49	""EGTON324""	NA	""ex-pipe smoker""	""854051000006108""	""854051000006112""	17	""current or former""",
"""854071000006119""",UNKNOWN,true,"3454	""EGTON326""	NA	""current smoker""	""854071000006103""	""854071000006119""	17	""current or former""",
"""854111000006110""",UNKNOWN,true,"914	""EGTON327""	NA	""past smoker""	""854111000006106""	""854111000006110""	17	""current or former""",
"""854151000006111""",UNKNOWN,true,"4842	""EGTON328""	NA	""date stopped smoking""	""854151000006107""	""854151000006111""	17	""current or former""",
"""854961000006110""",UNKNOWN,true,"5687	""EGTONGR11""	NA	""grade b light smoker (1-10/day)""	""854961000006106""	""854961000006110""	3	""current or former""",
"""854981000006117""",UNKNOWN,true,"5425	""EGTONGR12""	NA	""grade c moderate smoker (11-20/day)""	""854981000006101""	""854981000006117""	3	""current or former""",
"""855001000006114""",UNKNOWN,true,"2062	""EGTONGR13""	NA	""grade d heavy smoker (>20 day)""	""855001000006105""	""855001000006114""	3	""current or former""",
"""856371000006111""",UNKNOWN,true,"293268	""EGTONSM6""	NA	""smoking clinic""	""856371000006107""	""856371000006111""	17	""current or former""",
"""903041000006110""",UNKNOWN,true,"9996	""137F-99""	""137F.99""	""ex-smoker nos""	""266928006""	""903041000006110""	17	""current or former""",
"""903981000006117""",UNKNOWN,true,"29	""EMISQNO1""	NA	""not interested in stopping smoking""	""903981000006101""	""903981000006117""	17	""current or former""",
"""904001000006111""",UNKNOWN,true,"19	""EMISQRE12""	NA	""ready to stop smoking""	""904001000006107""	""904001000006111""	17	""current or former""",
"""904011000006114""",UNKNOWN,true,"84689	""EMISQSM9""	NA	""smoking cessation declaration signed by patient""	""904011000006105""	""904011000006114""	37	""current or former""",
"""904021000006118""",UNKNOWN,true,"77921	""EMISQPR6""	NA	""previous smoking quit attempts""	""904021000006102""	""904021000006118""	17	""current or former""",
"""904031000006115""",UNKNOWN,true,"4	""EMISQTH1""	NA	""thinking about stopping smoking""	""904031000006104""	""904031000006115""	17	""current or former""",
"""904071000006117""",UNKNOWN,true,"15489	""EMISQSM2""	NA	""smoking cessation 4 week follow up""	""904071000006101""	""904071000006117""	37	""current or former""",
"""904081000006119""",UNKNOWN,true,"1135	""EMISQSM3""	NA	""smoking cessation 52 week follow up""	""904081000006103""	""904081000006119""	37	""current or former""",
"""904121000006117""",UNKNOWN,true,"22433	""EMISQCO3""	NA	""carbon monoxide validation confirms smoker""	""904121000006101""	""904121000006117""	17	""current or former""",
"""904141000006112""",UNKNOWN,true,"4110	""EMISQSM4""	NA	""smoking cessation 4 week f/u not completed""	""904141000006108""	""904141000006112""	37	""current or former""",
"""904151000006114""",UNKNOWN,true,"30962	""EMISQSM5""	NA	""smoking cessation 4 week f/u completed""	""904151000006105""	""904151000006114""	37	""current or former""",
"""904161000006111""",UNKNOWN,true,"2229	""EMISQSM6""	NA	""smoking cessation 52 week f/u completed""	""904161000006107""	""904161000006111""	37	""current or former""",
"""904171000006116""",UNKNOWN,true,"204	""EMISQSM7""	NA	""smoking cessation 52 week f/u not completed""	""904171000006100""	""904171000006116""	37	""current or former""",
"""904181000006118""",UNKNOWN,true,"113391	""EMISQSM12""	NA	""smoking cessation counselling""	""904181000006102""	""904181000006118""	17	""current or former""",
"""904191000006115""",UNKNOWN,true,"20249	""EMISQSM10""	NA	""smoking cessation motivation score""	""904191000006104""	""904191000006115""	3	""current or former""",
"""904201000006117""",UNKNOWN,true,"9265	""EMISQSM11""	NA	""smoking cessation confidence score""	""904201000006101""	""904201000006117""	3	""current or former""",
"""904211000006119""",UNKNOWN,true,"82	""EMISQSM16""	NA	""smoking cessation service patient satisfaction score""	""904211000006103""	""904211000006119""	3	""current or former""",
"""904221000006110""",UNKNOWN,true,"21567	""EMISQSM15""	NA	""smoking cessation bupropion therapy""	""904221000006106""	""904221000006110""	32	""current or former""",
"""904231000006113""",UNKNOWN,true,"14062	""EMISQSM13""	NA	""smoking cessation counselling by telephone""	""904231000006109""	""904231000006113""	17	""current or former""",
"""904241000006115""",UNKNOWN,true,"16961	""EMISQSM14""	NA	""smoking cessation counselling in person""	""904241000006104""	""904241000006115""	17	""current or former""",
"""909391000006117""",UNKNOWN,true,"19384	""HNGZ011""	NA	""[rfc] reason for care : smoking cessation""	""909391000006101""	""909391000006117""	12	""current or former""",
"""923611000006113""",UNKNOWN,true,"9442	""PC0076""	NA	""health ed. - smoking""	""923611000006109""	""923611000006113""	42	""current or former""",
"""933181000006113""",UNKNOWN,true,"2	""TJHy2-99""	""TJHy299""	""drug reaction: nicotine""	""292451006""	""933181000006113""	5	""current or former""",
"""961581000006114""",UNKNOWN,true,"4598	""EMISCSM1""	NA	""smokes/uses tobacco products""	""961581000006105""	""961581000006114""	27	""current or former""",
"""983101000006113""",UNKNOWN,true,"286	""EMISNQSU2""	NA	""misuse of nicotine""	""983101000006109""	""983101000006113""	17	""current or former""",
"""998861000006112""",UNKNOWN,true,"636	""8BP3""	""8BP3.00""	""nicotine replacement therapy provided by community pharmacist""	""200211000000104""	""303471000000110""	32	""current or former""",
"""1009271000006118""",UNKNOWN,true,"23160	""ASDFGNO1""	NA	""non smoker - nos""	""1009271000006102""	""1009271000006118""	17	""current or former""",
"""1023971000006117""",UNKNOWN,true,"1479	""ALLERGY1142""	NA	""adverse reaction to nicotine""	""1023971000006101""	""1023971000006117""	5	""current or former""",
"""1027541000006110""",UNKNOWN,true,"12	""ALLERGY12691NEMIS""	NA	""adverse reaction to boots nicotine""	""1027541000006106""	""1027541000006110""	5	""current or former""",
"""1059701000000119""",UNKNOWN,true,"26397	""137l""	""137l.00""	""ex roll-up cigarette smoker""	""492191000000103""	""1059701000000119""	17	""current or former""",
"""1067161000006114""",UNKNOWN,true,"101	""ALLERGY4824EMIS""	NA	""adverse reaction to nicotinell tts 10""	""1067161000006105""	""1067161000006114""	5	""current or former""",
"""1067171000006119""",UNKNOWN,true,"84	""ALLERGY4825EMIS""	NA	""adverse reaction to nicotinell tts 20""	""1067171000006103""	""1067171000006119""	5	""current or former""",
"""1067181000006116""",UNKNOWN,true,"121	""ALLERGY4826EMIS""	NA	""adverse reaction to nicotinell tts 30""	""1067181000006100""	""1067181000006116""	5	""current or former""",
"""1088451000006117""",UNKNOWN,true,"397	""ALLERGY6526NEMIS""	NA	""adverse reaction to nicotinell""	""1088451000006101""	""1088451000006117""	5	""current or former""",
"""1101081000006119""",UNKNOWN,true,"11	""ALLERGY22315NEMIS""	NA	""adverse reaction to nicotinell classic""	""1101081000006103""	""1101081000006119""	5	""current or former""",
"""1123541000000118""",UNKNOWN,true,"22055	""8HBM""	""8HBM.00""	""stop smoking face to face follow-up""	""505581000000108""	""1123541000000118""	32	""current or former""",
"""1123951000000110""",UNKNOWN,true,"350	""9km""	""9km..00""	""ex-smoker annual review - enhanced services administration""	""505761000000105""	""1154471000000114""	37	""current or former""",
"""1125741000000111""",UNKNOWN,true,"314184	""67H6""	""67H6.00""	""brief intervention for smoking cessation""	""506491000000102""	""1125741000000111""	17	""current or former""",
"""1151791000000117""",UNKNOWN,true,"40686	""137K0""	""137K000""	""recently stopped smoking""	""517211000000106""	""1151791000000117""	17	""current or former""",
"""1152111000000118""",UNKNOWN,true,"289930	""9ko-1""	""9ko..11""	""current smoker annual review""	""505651000000103""	""1152111000000118""	37	""current or former""",
"""1154471000000114""",UNKNOWN,true,"371732	""9km-1""	""9km..11""	""ex-smoker annual review""	""505761000000105""	""1154471000000114""	37	""current or former""",
"""1175011000000112""",UNKNOWN,true,"635185	""8IEK""	""8IEK.00""	""smoking cessation programme declined""	""1087441000000106""	""2724181000000114""	32	""current or former""",
"""1176421000000118""",UNKNOWN,true,"1451248	""8IAj""	""8IAj.00""	""smoking cessation advice declined""	""527151000000107""	""1176421000000118""	32	""current or former""",
"""1563081000000115""",UNKNOWN,true,"35424	""13p50""	""13p5000""	""practice based smoking cessation programme start date""	""712971000000108""	""1563081000000115""	17	""current or former""",
"""1591651000006110""",UNKNOWN,true,"2046	""EMISNQSM5""	NA	""smoking cessation referral declined""	""1591651000006106""	""1591651000006110""	32	""current or former""",
