"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"term"	"databaserelease"
"24735"	"2577.00"	1427	0	3	0	"o/e - breath - alcohol smell"	"February 2009"
"65754"	"C150500"	24	0	0	0	"alcohol-induced pseudo-cushing's syndrome"	"February 2009"
"99877"	"136b.00"	1086	0	2	0	"feels should cut down drinking"	"June 2010"
"96053"	"9k1A.00"	191398	0	38	2	"brief intervention for excessive alcohol consumptn completed"	"February 2009"
"7123"	"ZV11300"	2146	0	49	0	"[v]personal history of alcoholism"	"February 2009"
"27414"	"E040.00"	124	0	7	0	"non-alcoholic amnestic syndrome"	"February 2009"
"21713"	"J612000"	453	0	11	0	"alcoholic fibrosis and sclerosis of liver"	"February 2009"
"26106"	"E231200"	710	0	13	0	"episodic chronic alcoholism"	"February 2009"
"5740"	"E230.00"	8505	0	460	3	"acute alcoholic intoxication in alcoholism"	"February 2009"
"108644"	"9NJz.00"	125	0	1	0	"in-house alcohol detoxification"	"September 2014"
"19217"	"SM0..00"	1947	0	31	0	"alcohol causing toxic effect"	"February 2009"
"5758"	"Eu10212"	2857	0	68	0	"[x]chronic alcoholism"	"February 2009"
"73876"	"U60H300"	3	0	0	0	"[x]alcohol deterrents caus adverse effects in therapeut use"	"February 2009"
"59574"	"E230300"	180	0	1	0	"acute alcoholic intoxication in remission, in alcoholism"	"February 2009"
"109675"	"9EVD.00"	30	0	1	0	"hospital alcohol liaison team report received"	"May 2015"
"8430"	"1462.00"	10853	0	164	1	"h/o: alcoholism"	"February 2009"
"55536"	"SM00z00"	14	0	1	0	"ethyl alcohol causing toxic effect nos"	"February 2009"
"44299"	"Eu10000"	1218	0	8	0	"[x]mental & behav dis due to use alcohol: acute intoxication"	"February 2009"
"11106"	"E011100"	129	0	3	0	"korsakov's alcoholic psychosis with peripheral neuritis"	"February 2009"
"56947"	"E230100"	71	0	2	0	"continuous acute alcoholic intoxication in alcoholism"	"February 2009"
"10161"	"2577.11"	7212	0	20	0	"o/e - alcoholic breath"	"February 2009"
"31443"	"E231.00"	5131	0	104	0	"chronic alcoholism"	"February 2009"
"103069"	"U1A9200"	1	0	0	0	"[x]acc poison/expos alcohol school/pub admin area"	"October 2011"
"12442"	"66e..00"	22828	0	308	0	"alcohol disorder monitoring"	"February 2009"
"95181"	"Z191211"	24	0	1	0	"alcohol reduction programme"	"February 2009"
"7746"	"E250.00"	71884	0	3926	31	"nondependent alcohol abuse"	"February 2009"
"57939"	"E014.00"	95	0	1	0	"pathological alcohol intoxication"	"February 2009"
"57714"	"E230.11"	134	0	0	0	"alcohol dependence with acute alcoholic intoxication"	"February 2009"
"23610"	"E250100"	1194	0	75	0	"nondependent alcohol abuse, continuous"	"February 2009"
"8363"	"G852300"	632	0	13	0	"oesophageal varices in alcoholic cirrhosis of the liver"	"February 2009"
"110382"	"9NgzH00"	105	0	1	0	"withdrawn from alcohol detoxification programme"	"December 2015"
"21624"	"E230200"	163	0	2	0	"episodic acute alcoholic intoxication in alcoholism"	"February 2009"
"16587"	"ZV11311"	187	0	20	0	"[v]problems related to lifestyle alcohol use"	"February 2009"
"33839"	"F144000"	135	0	0	0	"cerebellar ataxia due to alcoholism"	"February 2009"
"23835"	"E040.11"	495	0	16	0	"korsakoff's non-alcoholic psychosis"	"February 2009"
"39327"	"Eu10200"	2152	0	22	0	"[x]mental and behav dis due to use alcohol: dependence syndr"	"February 2009"
"18156"	"13Y8.00"	2586	0	23	2	"alcoholics anonymous"	"February 2009"
"65932"	"Eu10512"	22	0	0	0	"[x]alcoholic jealousy"	"February 2009"
"6467"	"Eu10511"	682	0	10	0	"[x]alcoholic hallucinosis"	"February 2009"
"17607"	"Eu10514"	890	0	30	0	"[x]alcoholic psychosis nos"	"February 2009"
"109108"	"2126C00"	525	0	7	0	"alcohol dependence resolved"	"January 2015"
"39799"	"Eu10600"	189	0	1	0	"[x]mental and behav dis due to use alcohol: amnesic syndrome"	"February 2009"
"32927"	"Eu10800"	12682	0	58	0	"[x]alcohol withdrawal-induced seizure"	"February 2009"
"8999"	"136P.00"	24494	0	639	0	"heavy drinker"	"February 2009"
"115844"	"8BAw.00"	2	0	0	0	"alcohol twelve step programme"	"October 2021"
"46677"	"Z191100"	202	0	1	0	"alcohol withdrawal regime"	"February 2009"
"96993"	"8HkJ.00"	535	0	70	0	"referral to alcohol brief intervention service"	"June 2009"
"38061"	"1B1c.00"	980	0	11	0	"alcohol induced hallucinations"	"February 2009"
"5611"	"Eu10.00"	2547	0	59	0	"[x]mental and behavioural disorders due to use of alcohol"	"February 2009"
"9508"	"Eu10011"	2701	0	64	0	"[x]acute alcoholic drunkenness"	"February 2009"
"28150"	"E250z00"	9434	0	3	0	"nondependent alcohol abuse nos"	"February 2009"
"97680"	"8IAJ.00"	4007	0	149	5	"declined referral to specialist alcohol treatment service"	"September 2009"
"56410"	"7P22100"	683	0	194	0	"delivery of rehabilitation for alcohol addiction"	"February 2009"
"67651"	"E01z.00"	170	0	0	0	"alcoholic psychosis nos"	"February 2009"
"28780"	"Eu10211"	4701	0	380	0	"[x]alcohol addiction"	"February 2009"
"31742"	"F394100"	205	0	2	0	"alcoholic myopathy"	"February 2009"
"36499"	"SM0z.00"	252	0	0	0	"alcohol causing toxic effect nos"	"February 2009"
"16725"	"J615.00"	2580	0	56	0	"cirrhosis - non alcoholic"	"February 2009"
"7943"	"J617.00"	5345	0	90	0	"alcoholic hepatitis"	"February 2009"
"16237"	"E01..00"	854	0	42	0	"alcoholic psychoses"	"February 2009"
"19495"	"136C.00"	5843	0	0	0	"ex-moderate drinker - (3-6u/d)"	"February 2009"
"94670"	"136W.00"	10549	0	93	0	"alcohol misuse"	"February 2009"
"69407"	"U409200"	1	0	0	0	"[x]pois/exp ?intent alcohol school/pub admin area"	"February 2009"
"2081"	"E23..11"	67309	0	4458	21	"alcoholism"	"February 2009"
"1399"	"E23..12"	174658	0	10095	25	"alcohol problem drinking"	"February 2009"
"9849"	"8H7p.00"	16002	0	19925	0	"referral to community alcohol team"	"February 2009"
"10691"	"J610.00"	9964	0	189	0	"alcoholic fatty liver"	"February 2009"
"12353"	"Eu10500"	321	0	4	0	"[x]mental & behav dis due to use alcohol: psychotic disorder"	"February 2009"
"4500"	"E011000"	2528	0	67	0	"korsakov's alcoholic psychosis"	"February 2009"
"23978"	"U81..00"	731	0	3	0	"[x]evid of alcohol involv determind by level of intoxication"	"February 2009"
"11670"	"Eu10611"	596	0	9	0	"[x]korsakov's psychosis, alcohol induced"	"February 2009"
"7545"	"ZV4KC00"	10277	0	222	0	"[v] alcohol use"	"February 2009"
"95410"	"SyuG000"	6	0	0	0	"[x]toxic effect of other alcohols"	"February 2009"
"108164"	"1JZ..00"	1178	0	208	0	"suspected binge eating disorder"	"June 2014"
"68111"	"E01yz00"	19	0	0	0	"other alcoholic psychosis nos"	"February 2009"
"21650"	"8H35.00"	3352	0	206	0	"admitted to alcohol detoxification centre"	"February 2009"
"2083"	"8BA8.00"	90357	0	2824	4	"alcohol detoxification"	"February 2009"
"2082"	"E01y000"	55048	0	1482	2	"alcohol withdrawal syndrome"	"February 2009"
"11740"	"9k1..00"	71902	0	482	0	"alcohol misuse - enhanced services administration"	"February 2009"
"4506"	"J153.00"	13201	0	196	10	"alcoholic gastritis"	"February 2009"
"4743"	"J612.00"	18741	0	519	3	"alcoholic cirrhosis of liver"	"February 2009"
"30695"	"136T.00"	28392	0	822	0	"harmful alcohol use"	"February 2009"
"36296"	"E230z00"	475	0	3	0	"acute alcoholic intoxication in alcoholism nos"	"February 2009"
"92908"	"U1A9500"	0	0	1	0	"[x]accid poison/expos alcohol trade/service area"	"February 2009"
"8984"	"SM00.00"	229	0	17	8	"ethyl alcohol causing toxic effect"	"February 2009"
"16455"	"J615z00"	1095	0	50	0	"non-alcoholic cirrhosis nos"	"February 2009"
"25110"	"E013.00"	423	0	31	0	"alcohol withdrawal hallucinosis"	"February 2009"
"19493"	"136D.00"	11124	0	0	0	"ex-heavy drinker - (7-9u/day)"	"February 2009"
"967"	"1367.00"	854282	0	113	0	"stopped drinking alcohol"	"February 2009"
"12554"	"8HHe.00"	11671	0	18608	0	"referral to community drug and alcohol team"	"February 2009"
"7602"	"J617000"	197	0	3	0	"chronic alcoholic hepatitis"	"February 2009"
"2084"	"E23..00"	295615	0	12389	16	"alcohol dependence syndrome"	"February 2009"
"27342"	"E012.11"	1199	0	34	0	"alcoholic dementia nos"	"February 2009"
"104611"	"J670800"	823	0	1	0	"alcohol-induced acute pancreatitis"	"July 2012"
"54505"	"E012.00"	273	0	3	0	"other alcoholic dementia"	"February 2009"
"110494"	"8BAu.00"	471	0	2	0	"alcohol harm reduction programme"	"January 2016"
"20762"	"E011.00"	122	0	1	0	"alcohol amnestic syndrome"	"February 2009"
"21412"	"TJH3.00"	30	0	2	0	"adverse reaction to alcohol deterrents"	"February 2009"
"12984"	"136Q.00"	4962	0	20	0	"very heavy drinker"	"February 2009"
"30162"	"Eu10513"	162	0	11	0	"[x]alcoholic paranoia"	"February 2009"
"3216"	"J611.00"	5510	0	251	1	"acute alcoholic hepatitis"	"February 2009"
"64409"	"Z191400"	13	0	0	0	"self-monitoring of alcohol intake"	"February 2009"
"95944"	"9k19.00"	2865	0	0	0	"alcohol assesment declined - enhanced services admin"	"February 2009"
"109668"	"8CdK.00"	7131	0	19	0	"specialist alcohol treatment service signposted"	"May 2015"
"110624"	"8BAs.00"	76	0	0	0	"alcohol relapse prevention"	"March 2016"
"10463"	"U209.00"	770	0	22	0	"[x]intent self poison/exposure to alcohol"	"February 2009"
"101543"	"SM0y.00"	9	0	0	0	"other alcohol causing toxic effect"	"January 2011"
"6169"	"E23z.00"	12268	0	295	0	"alcohol dependence syndrome nos"	"February 2009"
"12974"	"E250200"	3919	0	284	0	"nondependent alcohol abuse, episodic"	"February 2009"
"26518"	"1FF..00"	2548	0	84	0	"binge eating"	"February 2009"
"24064"	"E231100"	644	0	5	0	"continuous chronic alcoholism"	"February 2009"
"17330"	"J613000"	598	0	33	0	"alcoholic hepatic failure"	"February 2009"
"20514"	"Eu10300"	395	0	2	0	"[x]mental and behav dis due to use alcohol: withdrawal state"	"February 2009"
"63529"	"9k12.00"	9070	0	0	0	"alcohol misuse - enhanced service completed"	"February 2009"
"322"	"1364.00"	720993	0	27	4	"moderate drinker - 3-6u/day"	"February 2009"
"12977"	"1366.00"	69135	0	78	0	"very heavy drinker - >9u/day"	"February 2009"
"38949"	"ZC18.00"	149	0	17	0	"attempts to counteract effects of bingeing"	"February 2009"
"12970"	"1361.11"	515220	0	20	2	"non drinker alcohol"	"February 2009"
"17259"	"Eu10411"	2286	0	56	1	"[x]delirium tremens, alcohol induced"	"February 2009"
"7389"	"Eu04.12"	9140	0	1076	0	"[x]acute / subacute confusional state, nonalcoholic"	"February 2009"
"41983"	"Z191.00"	350	0	1	0	"alcohol detoxification"	"February 2009"
"84218"	"13ZY.00"	595	0	4	0	"disqualified from driving due to excess alcohol"	"February 2009"
"102448"	"136c.00"	288	0	3	0	"higher risk drinking"	"June 2011"
"96054"	"9k1B.00"	7067	0	2	0	"extended intervention for excessive alcohol consumptn complt"	"February 2009"
"37946"	"E012000"	155	0	0	0	"chronic alcoholic brain syndrome"	"February 2009"
"30604"	"F25B.00"	829	0	2	0	"alcohol-induced epilepsy"	"February 2009"
"29691"	"8G32.00"	508	0	12	0	"aversion therapy - alcoholism"	"February 2009"
